name	wiki	year
Georges Dum%C3%A9zil	https://en.wikipedia.org/wiki/Georges_Dum%C3%A9zil	1898
Qalandar Baba Auliya	https://en.wikipedia.org/wiki/Qalandar_Baba_Auliya	1898
Leo Strauss	https://en.wikipedia.org/wiki/Leo_Strauss	1899
H. H. Price	https://en.wikipedia.org/wiki/H._H._Price	1899
Erich Fromm	https://en.wikipedia.org/wiki/Erich_Fromm	1900
Gilbert Ryle	https://en.wikipedia.org/wiki/Gilbert_Ryle	1900
Herbert Blumer	https://en.wikipedia.org/wiki/Herbert_Blumer	1900
Hans-Georg Gadamer	https://en.wikipedia.org/wiki/Hans-Georg_Gadamer	1900
Muhammad Asad	https://en.wikipedia.org/wiki/Muhammad_Asad	1900
Richard McKeon	https://en.wikipedia.org/wiki/Richard_McKeon	1900
Henri Lefebvre	https://en.wikipedia.org/wiki/Henri_Lefebvre	1901
Ernest Nagel	https://en.wikipedia.org/wiki/Ernest_Nagel	1901
Eric Voegelin	https://en.wikipedia.org/wiki/Eric_Voegelin	1901
Jacques Lacan	https://en.wikipedia.org/wiki/Jacques_Lacan	1901
Alexandre Kojève	https://en.wikipedia.org/wiki/Alexandre_Kojève	1902
Sidney Hook	https://en.wikipedia.org/wiki/Sidney_Hook	1902
Alexandre Koj%C3%A8ve	https://en.wikipedia.org/wiki/Alexandre_Koj%C3%A8ve	1902
Karl Popper	https://en.wikipedia.org/wiki/Karl_Popper	1902
Mortimer J. Adler	https://en.wikipedia.org/wiki/Mortimer_J._Adler	1902
Lon L. Fuller	https://en.wikipedia.org/wiki/Lon_L._Fuller	1902
Frank P. Ramsey	https://en.wikipedia.org/wiki/Frank_P._Ramsey	1903
Jean Cavaillès	https://en.wikipedia.org/wiki/Jean_Cavaillès	1903
Jean Cavaill%C3%A8s	https://en.wikipedia.org/wiki/Jean_Cavaill%C3%A8s	1903
Theodor W. Adorno	https://en.wikipedia.org/wiki/Theodor_W._Adorno	1903
Hans Jonas	https://en.wikipedia.org/wiki/Hans_Jonas	1903
Henry Corbin	https://en.wikipedia.org/wiki/Henry_Corbin	1903
Necip Faz%C4%B1l K%C4%B1sak%C3%BCrek	https://en.wikipedia.org/wiki/Necip_Faz%C4%B1l_K%C4%B1sak%C3%BCrek	1904
Necip Faz?l K?sakürek	https://en.wikipedia.org/wiki/Necip_Faz?l_K?sakürek	1904
Amin Ahsan Islahi	https://en.wikipedia.org/wiki/Amin_Ahsan_Islahi	1904
Georges Canguilhem	https://en.wikipedia.org/wiki/Georges_Canguilhem	1904
Karl Rahner	https://en.wikipedia.org/wiki/Karl_Rahner	1904
Jean-Paul Sartre	https://en.wikipedia.org/wiki/Jean-Paul_Sartre	1905
Carl Gustav Hempel	https://en.wikipedia.org/wiki/Carl_Gustav_Hempel	1905
Raymond Aron	https://en.wikipedia.org/wiki/Raymond_Aron	1905
Hannah Arendt	https://en.wikipedia.org/wiki/Hannah_Arendt	1906
Emmanuel Levinas	https://en.wikipedia.org/wiki/Emmanuel_Levinas	1906
Nelson Goodman	https://en.wikipedia.org/wiki/Nelson_Goodman	1906
Maurice Blanchot	https://en.wikipedia.org/wiki/Maurice_Blanchot	1907
M%C3%A1rio Ferreira dos Santos	https://en.wikipedia.org/wiki/M%C3%A1rio_Ferreira_dos_Santos	1907
H. L. A. Hart	https://en.wikipedia.org/wiki/H._L._A._Hart	1907
Jan Pato%C4%8Dka	https://en.wikipedia.org/wiki/Jan_Pato%C4%8Dka	1907
Claude Lévi-Strauss	https://en.wikipedia.org/wiki/Claude_Lévi-Strauss	1908
Claude L%C3%A9vi-Strauss	https://en.wikipedia.org/wiki/Claude_L%C3%A9vi-Strauss	1908
Simone de Beauvoir	https://en.wikipedia.org/wiki/Simone_de_Beauvoir	1908
Maurice Merleau-Ponty	https://en.wikipedia.org/wiki/Maurice_Merleau-Ponty	1908
Willard Van Orman Quine	https://en.wikipedia.org/wiki/Willard_Van_Orman_Quine	1908
Mili%C4%8D %C4%8Capek	https://en.wikipedia.org/wiki/Mili%C4%8D_%C4%8Capek	1909
Simone Weil	https://en.wikipedia.org/wiki/Simone_Weil	1909
Norberto Bobbio	https://en.wikipedia.org/wiki/Norberto_Bobbio	1909
Isaiah Berlin	https://en.wikipedia.org/wiki/Isaiah_Berlin	1909
A. J. Ayer	https://en.wikipedia.org/wiki/A._J._Ayer	1910
Emil Cioran	https://en.wikipedia.org/wiki/Emil_Cioran	1911
J. L. Austin	https://en.wikipedia.org/wiki/J._L._Austin	1911
Marshall McLuhan	https://en.wikipedia.org/wiki/Marshall_McLuhan	1911
Wilfrid Sellars	https://en.wikipedia.org/wiki/Wilfrid_Sellars	1912
Arne Næss	https://en.wikipedia.org/wiki/Arne_Næss	1912
Arne N%C3%A6ss	https://en.wikipedia.org/wiki/Arne_N%C3%A6ss	1912
Jacques Ellul	https://en.wikipedia.org/wiki/Jacques_Ellul	1912
Paul Ricœur	https://en.wikipedia.org/wiki/Paul_Ricœur	1913
Paul Ric%C5%93ur	https://en.wikipedia.org/wiki/Paul_Ric%C5%93ur	1913
Norman O. Brown	https://en.wikipedia.org/wiki/Norman_O._Brown	1913
Albert Camus	https://en.wikipedia.org/wiki/Albert_Camus	1913
Paul Grice	https://en.wikipedia.org/wiki/Paul_Grice	1913
John Passmore	https://en.wikipedia.org/wiki/John_Passmore	1914
Roland Barthes	https://en.wikipedia.org/wiki/Roland_Barthes	1915
Roderick Chisholm	https://en.wikipedia.org/wiki/Roderick_Chisholm	1916
Emil Fackenheim	https://en.wikipedia.org/wiki/Emil_Fackenheim	1916
Georg Henrik von Wright	https://en.wikipedia.org/wiki/Georg_Henrik_von_Wright	1916
Peter Geach	https://en.wikipedia.org/wiki/Peter_Geach	1916
Sebastian Shaumyan	https://en.wikipedia.org/wiki/Sebastian_Shaumyan	1916
J. L. Mackie	https://en.wikipedia.org/wiki/J._L._Mackie	1917
Abdel Rahman Badawi	https://en.wikipedia.org/wiki/Abdel_Rahman_Badawi	1917
Donald Davidson (philosopher)	https://en.wikipedia.org/wiki/Donald_Davidson_(philosopher)	1917
Louis Althusser	https://en.wikipedia.org/wiki/Louis_Althusser	1918
P. F. Strawson	https://en.wikipedia.org/wiki/P._F._Strawson	1919
William A. Earle	https://en.wikipedia.org/wiki/William_A._Earle	1919
Paul de Man	https://en.wikipedia.org/wiki/Paul_de_Man	1919
Mario Bunge	https://en.wikipedia.org/wiki/Mario_Bunge	1919
Morris Janowitz	https://en.wikipedia.org/wiki/Morris_Janowitz	1919
R. M. Hare	https://en.wikipedia.org/wiki/R._M._Hare	1919
Jules Vuillemin	https://en.wikipedia.org/wiki/Jules_Vuillemin	1920
Philippa Foot	https://en.wikipedia.org/wiki/Philippa_Foot	1920
J. J. C. Smart	https://en.wikipedia.org/wiki/J._J._C._Smart	1920
Murray Bookchin	https://en.wikipedia.org/wiki/Murray_Bookchin	1921
Walter Kaufmann (philosopher)	https://en.wikipedia.org/wiki/Walter_Kaufmann_(philosopher)	1921
Raymond Williams	https://en.wikipedia.org/wiki/Raymond_Williams	1921
William Alston	https://en.wikipedia.org/wiki/William_Alston	1921
John Rawls	https://en.wikipedia.org/wiki/John_Rawls	1921
Sheldon Wolin	https://en.wikipedia.org/wiki/Sheldon_Wolin	1922
Karl-Otto Apel	https://en.wikipedia.org/wiki/Karl-Otto_Apel	1922
Thomas Kuhn	https://en.wikipedia.org/wiki/Thomas_Kuhn	1922
Cornelius Castoriadis	https://en.wikipedia.org/wiki/Cornelius_Castoriadis	1922
Michel Henry	https://en.wikipedia.org/wiki/Michel_Henry	1922
Patrick Suppes	https://en.wikipedia.org/wiki/Patrick_Suppes	1922
Stephen Toulmin	https://en.wikipedia.org/wiki/Stephen_Toulmin	1922
Imre Lakatos	https://en.wikipedia.org/wiki/Imre_Lakatos	1922
Pierre Hadot	https://en.wikipedia.org/wiki/Pierre_Hadot	1922
Jacob Taubes	https://en.wikipedia.org/wiki/Jacob_Taubes	1923
André Gorz	https://en.wikipedia.org/wiki/André_Gorz	1923
Israel Scheffler	https://en.wikipedia.org/wiki/Israel_Scheffler	1923
Anna-Teresa Tymieniecka	https://en.wikipedia.org/wiki/Anna-Teresa_Tymieniecka	1923
Andr%C3%A9 Gorz	https://en.wikipedia.org/wiki/Andr%C3%A9_Gorz	1923
Richard Popkin	https://en.wikipedia.org/wiki/Richard_Popkin	1923
Antony Flew	https://en.wikipedia.org/wiki/Antony_Flew	1923
Héctor-Neri Castañeda	https://en.wikipedia.org/wiki/Héctor-Neri_Castañeda	1924
Kenneth Waltz	https://en.wikipedia.org/wiki/Kenneth_Waltz	1924
H%C3%A9ctor-Neri Casta%C3%B1eda	https://en.wikipedia.org/wiki/H%C3%A9ctor-Neri_Casta%C3%B1eda	1924
Gilbert Simondon	https://en.wikipedia.org/wiki/Gilbert_Simondon	1924
Jean-François Lyotard	https://en.wikipedia.org/wiki/Jean-François_Lyotard	1924
Paul Feyerabend	https://en.wikipedia.org/wiki/Paul_Feyerabend	1924
Kostas Axelos	https://en.wikipedia.org/wiki/Kostas_Axelos	1924
Jean-Fran%C3%A7ois Lyotard	https://en.wikipedia.org/wiki/Jean-Fran%C3%A7ois_Lyotard	1924
Ullin Place	https://en.wikipedia.org/wiki/Ullin_Place	1924
Gilles Deleuze	https://en.wikipedia.org/wiki/Gilles_Deleuze	1925
Zygmunt Bauman	https://en.wikipedia.org/wiki/Zygmunt_Bauman	1925
Paul Kurtz	https://en.wikipedia.org/wiki/Paul_Kurtz	1925
John B. Cobb	https://en.wikipedia.org/wiki/John_B._Cobb	1925
Michael Dummett	https://en.wikipedia.org/wiki/Michael_Dummett	1925
Ernest Gellner	https://en.wikipedia.org/wiki/Ernest_Gellner	1925
Herbert McCabe	https://en.wikipedia.org/wiki/Herbert_McCabe	1926
David Malet Armstrong	https://en.wikipedia.org/wiki/David_Malet_Armstrong	1926
Michel Foucault	https://en.wikipedia.org/wiki/Michel_Foucault	1926
Hilary Putnam	https://en.wikipedia.org/wiki/Hilary_Putnam	1926
Ivan Illich	https://en.wikipedia.org/wiki/Ivan_Illich	1926
Karel Kos%C3%ADk	https://en.wikipedia.org/wiki/Karel_Kos%C3%ADk	1926
Stanley Cavell	https://en.wikipedia.org/wiki/Stanley_Cavell	1926
David Stove	https://en.wikipedia.org/wiki/David_Stove	1927
Burton Dreben	https://en.wikipedia.org/wiki/Burton_Dreben	1927
Dieter Henrich	https://en.wikipedia.org/wiki/Dieter_Henrich	1927
Leszek Ko%C5%82akowski	https://en.wikipedia.org/wiki/Leszek_Ko%C5%82akowski	1927
Noam Chomsky	https://en.wikipedia.org/wiki/Noam_Chomsky	1928
Nicholas Rescher	https://en.wikipedia.org/wiki/Nicholas_Rescher	1928
William Stringfellow	https://en.wikipedia.org/wiki/William_Stringfellow	1928
Jürgen Habermas	https://en.wikipedia.org/wiki/Jürgen_Habermas	1929
Jean Baudrillard	https://en.wikipedia.org/wiki/Jean_Baudrillard	1929
Hubert Dreyfus	https://en.wikipedia.org/wiki/Hubert_Dreyfus	1929
Bernard Williams	https://en.wikipedia.org/wiki/Bernard_Williams	1929
Alasdair MacIntyre	https://en.wikipedia.org/wiki/Alasdair_MacIntyre	1929
%C3%81gnes Heller	https://en.wikipedia.org/wiki/%C3%81gnes_Heller	1929
Judith Jarvis Thomson	https://en.wikipedia.org/wiki/Judith_Jarvis_Thomson	1929
Ágnes Heller	https://en.wikipedia.org/wiki/Ágnes_Heller	1929
J%C3%BCrgen Habermas	https://en.wikipedia.org/wiki/J%C3%BCrgen_Habermas	1929
Félix Guattari	https://en.wikipedia.org/wiki/Félix_Guattari	1930
Ignacio Ellacuría	https://en.wikipedia.org/wiki/Ignacio_Ellacuría	1930
Joseph A. Bracken	https://en.wikipedia.org/wiki/Joseph_A._Bracken	1930
Allan Bloom	https://en.wikipedia.org/wiki/Allan_Bloom	1930
Ignacio Ellacur%C3%ADa	https://en.wikipedia.org/wiki/Ignacio_Ellacur%C3%ADa	1930
Jacques Derrida	https://en.wikipedia.org/wiki/Jacques_Derrida	1930
Frithjof Bergmann	https://en.wikipedia.org/wiki/Frithjof_Bergmann	1930
Wolfgang Smith	https://en.wikipedia.org/wiki/Wolfgang_Smith	1930
Robert Gilpin	https://en.wikipedia.org/wiki/Robert_Gilpin	1930
Luce Irigaray	https://en.wikipedia.org/wiki/Luce_Irigaray	1930
Pierre Bourdieu	https://en.wikipedia.org/wiki/Pierre_Bourdieu	1930
F%C3%A9lix Guattari	https://en.wikipedia.org/wiki/F%C3%A9lix_Guattari	1930
Michel Serres	https://en.wikipedia.org/wiki/Michel_Serres	1930
Guy Debord	https://en.wikipedia.org/wiki/Guy_Debord	1931
Gonzalo Arango	https://en.wikipedia.org/wiki/Gonzalo_Arango	1931
Anthony Kenny	https://en.wikipedia.org/wiki/Anthony_Kenny	1931
Ronald Dworkin	https://en.wikipedia.org/wiki/Ronald_Dworkin	1931
Richard Rorty	https://en.wikipedia.org/wiki/Richard_Rorty	1931
William L. Rowe	https://en.wikipedia.org/wiki/William_L._Rowe	1931
Charles Taylor (philosopher)	https://en.wikipedia.org/wiki/Charles_Taylor_(philosopher)	1931
Nicholas Wolterstorff	https://en.wikipedia.org/wiki/Nicholas_Wolterstorff	1932
Michael Martin (philosopher)	https://en.wikipedia.org/wiki/Michael_Martin_(philosopher)	1932
Hedley Bull	https://en.wikipedia.org/wiki/Hedley_Bull	1932
John Searle	https://en.wikipedia.org/wiki/John_Searle	1932
Norman Geisler	https://en.wikipedia.org/wiki/Norman_Geisler	1932
Robert Anton Wilson	https://en.wikipedia.org/wiki/Robert_Anton_Wilson	1932
Richard J. Bernstein	https://en.wikipedia.org/wiki/Richard_J._Bernstein	1932
Alvin Plantinga	https://en.wikipedia.org/wiki/Alvin_Plantinga	1932
Hossein Nasr	https://en.wikipedia.org/wiki/Hossein_Nasr	1933
Ted Honderich	https://en.wikipedia.org/wiki/Ted_Honderich	1933
Reza Davari Ardakani	https://en.wikipedia.org/wiki/Reza_Davari_Ardakani	1933
Antonio Negri	https://en.wikipedia.org/wiki/Antonio_Negri	1933
Ruth Millikan	https://en.wikipedia.org/wiki/Ruth_Millikan	1933
Don Ihde	https://en.wikipedia.org/wiki/Don_Ihde	1934
Jaegwon Kim	https://en.wikipedia.org/wiki/Jaegwon_Kim	1934
Bernard Gert	https://en.wikipedia.org/wiki/Bernard_Gert	1934
Evandro Agazzi	https://en.wikipedia.org/wiki/Evandro_Agazzi	1934
Dewi Zephaniah Phillips	https://en.wikipedia.org/wiki/Dewi_Zephaniah_Phillips	1934
Gy%C3%B6rgy M%C3%A1rkus	https://en.wikipedia.org/wiki/Gy%C3%B6rgy_M%C3%A1rkus	1934
Fredric Jameson	https://en.wikipedia.org/wiki/Fredric_Jameson	1934
Richard Swinburne	https://en.wikipedia.org/wiki/Richard_Swinburne	1934
György Márkus	https://en.wikipedia.org/wiki/György_Márkus	1934
Edward Said	https://en.wikipedia.org/wiki/Edward_Said	1935
Khalid Masud	https://en.wikipedia.org/wiki/Khalid_Masud	1935
Estanislao Zuleta	https://en.wikipedia.org/wiki/Estanislao_Zuleta	1935
Ernesto Laclau	https://en.wikipedia.org/wiki/Ernesto_Laclau	1935
Michael Walzer	https://en.wikipedia.org/wiki/Michael_Walzer	1935
Dallas Willard	https://en.wikipedia.org/wiki/Dallas_Willard	1935
Jerry Fodor	https://en.wikipedia.org/wiki/Jerry_Fodor	1935
Peter Achinstein	https://en.wikipedia.org/wiki/Peter_Achinstein	1935
Gianni Vattimo	https://en.wikipedia.org/wiki/Gianni_Vattimo	1936
Ian Hacking	https://en.wikipedia.org/wiki/Ian_Hacking	1936
Nicos Poulantzas	https://en.wikipedia.org/wiki/Nicos_Poulantzas	1936
Arthur Fine	https://en.wikipedia.org/wiki/Arthur_Fine	1937
André Glucksmann	https://en.wikipedia.org/wiki/André_Glucksmann	1937
Alain Badiou	https://en.wikipedia.org/wiki/Alain_Badiou	1937
Andr%C3%A9 Glucksmann	https://en.wikipedia.org/wiki/Andr%C3%A9_Glucksmann	1937
Fran%C3%A7ois Laruelle	https://en.wikipedia.org/wiki/Fran%C3%A7ois_Laruelle	1937
François Laruelle	https://en.wikipedia.org/wiki/François_Laruelle	1937
H%C3%A9l%C3%A8ne Cixous	https://en.wikipedia.org/wiki/H%C3%A9l%C3%A8ne_Cixous	1937
Dominique Janicaud	https://en.wikipedia.org/wiki/Dominique_Janicaud	1937
Hélène Cixous	https://en.wikipedia.org/wiki/Hélène_Cixous	1937
Robert Nozick	https://en.wikipedia.org/wiki/Robert_Nozick	1938
Ivan Soll	https://en.wikipedia.org/wiki/Ivan_Soll	1938
Keith Ward	https://en.wikipedia.org/wiki/Keith_Ward	1938
Peter Hacker	https://en.wikipedia.org/wiki/Peter_Hacker	1939
David Ray Griffin	https://en.wikipedia.org/wiki/David_Ray_Griffin	1939
Kendall Walton	https://en.wikipedia.org/wiki/Kendall_Walton	1939
Joseph Raz	https://en.wikipedia.org/wiki/Joseph_Raz	1939
William Leiss	https://en.wikipedia.org/wiki/William_Leiss	1939
Michael J. Shapiro	https://en.wikipedia.org/wiki/Michael_J._Shapiro	1940
Jacques Rancière	https://en.wikipedia.org/wiki/Jacques_Rancière	1940
Takis Fotopoulos	https://en.wikipedia.org/wiki/Takis_Fotopoulos	1940
Saul Kripke	https://en.wikipedia.org/wiki/Saul_Kripke	1940
Jacques Ranci%C3%A8re	https://en.wikipedia.org/wiki/Jacques_Ranci%C3%A8re	1940
John D. Caputo	https://en.wikipedia.org/wiki/John_D._Caputo	1940
David Lewis (philosopher)	https://en.wikipedia.org/wiki/David_Lewis_(philosopher)	1941
Jos%C3%A9 Guilherme Merquior	https://en.wikipedia.org/wiki/Jos%C3%A9_Guilherme_Merquior	1941
Bas van Fraassen	https://en.wikipedia.org/wiki/Bas_van_Fraassen	1941
Joxe Azurmendi	https://en.wikipedia.org/wiki/Joxe_Azurmendi	1941
José Guilherme Merquior	https://en.wikipedia.org/wiki/José_Guilherme_Merquior	1941
Julia Kristeva	https://en.wikipedia.org/wiki/Julia_Kristeva	1941
Gerald Cohen	https://en.wikipedia.org/wiki/Gerald_Cohen	1941
John McDowell	https://en.wikipedia.org/wiki/John_McDowell	1942
Derek Parfit	https://en.wikipedia.org/wiki/Derek_Parfit	1942
Tom Rockmore	https://en.wikipedia.org/wiki/Tom_Rockmore	1942
Duncan Kennedy (legal philosopher)	https://en.wikipedia.org/wiki/Duncan_Kennedy_(legal_philosopher)	1942
Ned Block	https://en.wikipedia.org/wiki/Ned_Block	1942
Étienne Balibar	https://en.wikipedia.org/wiki/Étienne_Balibar	1942
Paul Churchland	https://en.wikipedia.org/wiki/Paul_Churchland	1942
%C3%89tienne Balibar	https://en.wikipedia.org/wiki/%C3%89tienne_Balibar	1942
Robert C. Solomon	https://en.wikipedia.org/wiki/Robert_C._Solomon	1942
Crispin Wright	https://en.wikipedia.org/wiki/Crispin_Wright	1942
Giorgio Agamben	https://en.wikipedia.org/wiki/Giorgio_Agamben	1942
Peter van Inwagen	https://en.wikipedia.org/wiki/Peter_van_Inwagen	1942
Gayatri Chakravorty Spivak	https://en.wikipedia.org/wiki/Gayatri_Chakravorty_Spivak	1942
Daniel Dennett	https://en.wikipedia.org/wiki/Daniel_Dennett	1942
Chris Harman	https://en.wikipedia.org/wiki/Chris_Harman	1942
Muhammad al-Tijani	https://en.wikipedia.org/wiki/Muhammad_al-Tijani	1943
Martha Albertson Fineman	https://en.wikipedia.org/wiki/Martha_Albertson_Fineman	1943
Costanzo Preve	https://en.wikipedia.org/wiki/Costanzo_Preve	1943
Terry Eagleton	https://en.wikipedia.org/wiki/Terry_Eagleton	1943
John Zerzan	https://en.wikipedia.org/wiki/John_Zerzan	1943
Panagiotis Kondylis	https://en.wikipedia.org/wiki/Panagiotis_Kondylis	1943
Rosalind Hursthouse	https://en.wikipedia.org/wiki/Rosalind_Hursthouse	1943
Douglas Kellner	https://en.wikipedia.org/wiki/Douglas_Kellner	1943
Alain de Benoist	https://en.wikipedia.org/wiki/Alain_de_Benoist	1943
Helen Longino	https://en.wikipedia.org/wiki/Helen_Longino	1944
Simon Blackburn	https://en.wikipedia.org/wiki/Simon_Blackburn	1944
Nancy Cartwright (philosopher)	https://en.wikipedia.org/wiki/Nancy_Cartwright_(philosopher)	1944
R. A. W. Rhodes	https://en.wikipedia.org/wiki/R._A._W._Rhodes	1944
Roger Scruton	https://en.wikipedia.org/wiki/Roger_Scruton	1944
Susan Haack	https://en.wikipedia.org/wiki/Susan_Haack	1945
Philip Pettit	https://en.wikipedia.org/wiki/Philip_Pettit	1945
Manfred Frank	https://en.wikipedia.org/wiki/Manfred_Frank	1945
Jonathan Dancy	https://en.wikipedia.org/wiki/Jonathan_Dancy	1946
Alexander Nehamas	https://en.wikipedia.org/wiki/Alexander_Nehamas	1946
Peter Singer	https://en.wikipedia.org/wiki/Peter_Singer	1946
Predrag Finci	https://en.wikipedia.org/wiki/Predrag_Finci	1946
Louis Michael Seidman	https://en.wikipedia.org/wiki/Louis_Michael_Seidman	1947
Peter Sloterdijk	https://en.wikipedia.org/wiki/Peter_Sloterdijk	1947
Nancy Fraser	https://en.wikipedia.org/wiki/Nancy_Fraser	1947
Olavo de Carvalho	https://en.wikipedia.org/wiki/Olavo_de_Carvalho	1947
John Mearsheimer	https://en.wikipedia.org/wiki/John_Mearsheimer	1947
Gillian Rose	https://en.wikipedia.org/wiki/Gillian_Rose	1947
Martha Nussbaum	https://en.wikipedia.org/wiki/Martha_Nussbaum	1947
J. P. Moreland	https://en.wikipedia.org/wiki/J._P._Moreland	1948
Carlo Penco	https://en.wikipedia.org/wiki/Carlo_Penco	1948
Hans Köchler	https://en.wikipedia.org/wiki/Hans_Köchler	1948
Hans Joas	https://en.wikipedia.org/wiki/Hans_Joas	1948
Graham Priest	https://en.wikipedia.org/wiki/Graham_Priest	1948
Hans K%C3%B6chler	https://en.wikipedia.org/wiki/Hans_K%C3%B6chler	1948
Robert B. Pippin	https://en.wikipedia.org/wiki/Robert_B._Pippin	1948
Ljubodrag Simonovi%C4%87	https://en.wikipedia.org/wiki/Ljubodrag_Simonovi%C4%87	1949
Christopher Hitchens	https://en.wikipedia.org/wiki/Christopher_Hitchens	1949
Slavoj Žižek	https://en.wikipedia.org/wiki/Slavoj_Žižek	1949
Slavoj %C5%BDi%C5%BEek	https://en.wikipedia.org/wiki/Slavoj_%C5%BDi%C5%BEek	1949
Arda Denkel	https://en.wikipedia.org/wiki/Arda_Denkel	1949
William Lane Craig	https://en.wikipedia.org/wiki/William_Lane_Craig	1949
Axel Honneth	https://en.wikipedia.org/wiki/Axel_Honneth	1949
Alex Callinicos	https://en.wikipedia.org/wiki/Alex_Callinicos	1950
Michele Marsonet	https://en.wikipedia.org/wiki/Michele_Marsonet	1950
Richard Tarnas	https://en.wikipedia.org/wiki/Richard_Tarnas	1950
Robert Brandom	https://en.wikipedia.org/wiki/Robert_Brandom	1950
Brian Davies (philosopher)	https://en.wikipedia.org/wiki/Brian_Davies_(philosopher)	1951
Javed Ahmad Ghamidi	https://en.wikipedia.org/wiki/Javed_Ahmad_Ghamidi	1951
Bob Black	https://en.wikipedia.org/wiki/Bob_Black	1951
Kevin Mulligan	https://en.wikipedia.org/wiki/Kevin_Mulligan	1951
Hamid Dabashi	https://en.wikipedia.org/wiki/Hamid_Dabashi	1951
Avital Ronell	https://en.wikipedia.org/wiki/Avital_Ronell	1952
Bernard Stiegler	https://en.wikipedia.org/wiki/Bernard_Stiegler	1952
Francis Fukuyama	https://en.wikipedia.org/wiki/Francis_Fukuyama	1952
Manuel DeLanda	https://en.wikipedia.org/wiki/Manuel_DeLanda	1952
Christine Korsgaard	https://en.wikipedia.org/wiki/Christine_Korsgaard	1952
Catherine Keller (theologian)	https://en.wikipedia.org/wiki/Catherine_Keller_(theologian)	1953
Michael J. Sandel	https://en.wikipedia.org/wiki/Michael_J._Sandel	1953
Cornel West	https://en.wikipedia.org/wiki/Cornel_West	1953
Jeremy Waldron	https://en.wikipedia.org/wiki/Jeremy_Waldron	1953
Norbert Bolz	https://en.wikipedia.org/wiki/Norbert_Bolz	1953
Rosi Braidotti	https://en.wikipedia.org/wiki/Rosi_Braidotti	1954
Anthony Weston	https://en.wikipedia.org/wiki/Anthony_Weston	1954
Wendy Brown (political scientist)	https://en.wikipedia.org/wiki/Wendy_Brown_(political_scientist)	1955
Stephen Walt	https://en.wikipedia.org/wiki/Stephen_Walt	1955
Gary Peller	https://en.wikipedia.org/wiki/Gary_Peller	1955
Brian Massumi	https://en.wikipedia.org/wiki/Brian_Massumi	1956
Judith Butler	https://en.wikipedia.org/wiki/Judith_Butler	1956
Hent de Vries	https://en.wikipedia.org/wiki/Hent_de_Vries	1958
Catherine Malabou	https://en.wikipedia.org/wiki/Catherine_Malabou	1959
Jes%C3%BAs Padilla G%C3%A1lvez	https://en.wikipedia.org/wiki/Jes%C3%BAs_Padilla_G%C3%A1lvez	1959
Jonathan Wolff (philosopher)	https://en.wikipedia.org/wiki/Jonathan_Wolff_(philosopher)	1959
Michel Onfray	https://en.wikipedia.org/wiki/Michel_Onfray	1959
Simon Critchley	https://en.wikipedia.org/wiki/Simon_Critchley	1960
Vittorio H%C3%B6sle	https://en.wikipedia.org/wiki/Vittorio_H%C3%B6sle	1960
Vittorio Hösle	https://en.wikipedia.org/wiki/Vittorio_Hösle	1960
Michael Hardt	https://en.wikipedia.org/wiki/Michael_Hardt	1960
Sandra Laugier	https://en.wikipedia.org/wiki/Sandra_Laugier	1961
Nick Land	https://en.wikipedia.org/wiki/Nick_Land	1962
Stephen Mulhall	https://en.wikipedia.org/wiki/Stephen_Mulhall	1962
Aleksandr Dugin	https://en.wikipedia.org/wiki/Aleksandr_Dugin	1962
Will Kymlicka	https://en.wikipedia.org/wiki/Will_Kymlicka	1962
Tariq Ramadan	https://en.wikipedia.org/wiki/Tariq_Ramadan	1962
Paul Copan	https://en.wikipedia.org/wiki/Paul_Copan	1962
Mark Bevir	https://en.wikipedia.org/wiki/Mark_Bevir	1963
Bijan Abdolkarimi	https://en.wikipedia.org/wiki/Bijan_Abdolkarimi	1963
Richard David Precht	https://en.wikipedia.org/wiki/Richard_David_Precht	1964
John Gardner (legal philosopher)	https://en.wikipedia.org/wiki/John_Gardner_(legal_philosopher)	1964
Luciano Floridi	https://en.wikipedia.org/wiki/Luciano_Floridi	1964
Bryan Reynolds	https://en.wikipedia.org/wiki/Bryan_Reynolds	1965
Ray Brassier	https://en.wikipedia.org/wiki/Ray_Brassier	1965
Mario Kopi%C4%87	https://en.wikipedia.org/wiki/Mario_Kopi%C4%87	1965
Nader El-Bizri	https://en.wikipedia.org/wiki/Nader_El-Bizri	1966
David Chalmers	https://en.wikipedia.org/wiki/David_Chalmers	1966
Alice Crary	https://en.wikipedia.org/wiki/Alice_Crary	1967
Quentin Meillassoux	https://en.wikipedia.org/wiki/Quentin_Meillassoux	1967
Dan Zahavi	https://en.wikipedia.org/wiki/Dan_Zahavi	1967
Graham Harman	https://en.wikipedia.org/wiki/Graham_Harman	1968
Timothy Morton	https://en.wikipedia.org/wiki/Timothy_Morton	1968
Michael Huemer	https://en.wikipedia.org/wiki/Michael_Huemer	1969
Gualtiero Piccinini	https://en.wikipedia.org/wiki/Gualtiero_Piccinini	1970
Austin Dacey	https://en.wikipedia.org/wiki/Austin_Dacey	1972
Chris Bateman	https://en.wikipedia.org/wiki/Chris_Bateman	1972
Alexander Pruss	https://en.wikipedia.org/wiki/Alexander_Pruss	1973
Peter Rollins	https://en.wikipedia.org/wiki/Peter_Rollins	1973
Constantine Sandis	https://en.wikipedia.org/wiki/Constantine_Sandis	1976
