name	wiki	year	inf
Jean Cavaillès	https://en.wikipedia.org/wiki/Jean_Cavaillès	1903	1
Theodor W. Adorno	https://en.wikipedia.org/wiki/Theodor_W._Adorno	1903	2
Amin Ahsan Islahi	https://en.wikipedia.org/wiki/Amin_Ahsan_Islahi	1904	1
Georges Canguilhem	https://en.wikipedia.org/wiki/Georges_Canguilhem	1904	4
Karl Rahner	https://en.wikipedia.org/wiki/Karl_Rahner	1904	0
Necip Fazıl Kısakürek	https://en.wikipedia.org/wiki/Necip_Fazıl_Kısakürek	1904	0
Carl Gustav Hempel	https://en.wikipedia.org/wiki/Carl_Gustav_Hempel	1905	1
Jean-Paul Sartre	https://en.wikipedia.org/wiki/Jean-Paul_Sartre	1905	6
Raymond Aron	https://en.wikipedia.org/wiki/Raymond_Aron	1905	1
Emmanuel Levinas	https://en.wikipedia.org/wiki/Emmanuel_Levinas	1906	3
Hannah Arendt	https://en.wikipedia.org/wiki/Hannah_Arendt	1906	3
Nelson Goodman	https://en.wikipedia.org/wiki/Nelson_Goodman	1906	6
H. L. A. Hart	https://en.wikipedia.org/wiki/H._L._A._Hart	1907	3
Jan Patočka	https://en.wikipedia.org/wiki/Jan_Patočka	1907	0
Maurice Blanchot	https://en.wikipedia.org/wiki/Maurice_Blanchot	1907	1
Mário Ferreira dos Santos	https://en.wikipedia.org/wiki/Mário_Ferreira_dos_Santos	1907	0
Claude Lévi-Strauss	https://en.wikipedia.org/wiki/Claude_Lévi-Strauss	1908	1
Maurice Merleau-Ponty	https://en.wikipedia.org/wiki/Maurice_Merleau-Ponty	1908	0
Simone de Beauvoir	https://en.wikipedia.org/wiki/Simone_de_Beauvoir	1908	1
Willard Van Orman Quine	https://en.wikipedia.org/wiki/Willard_Van_Orman_Quine	1908	5
Isaiah Berlin	https://en.wikipedia.org/wiki/Isaiah_Berlin	1909	1
Milič Čapek	https://en.wikipedia.org/wiki/Milič_Čapek	1909	2
Norberto Bobbio	https://en.wikipedia.org/wiki/Norberto_Bobbio	1909	1
Simone Weil	https://en.wikipedia.org/wiki/Simone_Weil	1909	3
A. J. Ayer	https://en.wikipedia.org/wiki/A._J._Ayer	1910	1
Emil Cioran	https://en.wikipedia.org/wiki/Emil_Cioran	1911	1
J. L. Austin	https://en.wikipedia.org/wiki/J._L._Austin	1911	2
Marshall McLuhan	https://en.wikipedia.org/wiki/Marshall_McLuhan	1911	1
Arne Næss	https://en.wikipedia.org/wiki/Arne_Næss	1912	0
Jacques Ellul	https://en.wikipedia.org/wiki/Jacques_Ellul	1912	4
Wilfrid Sellars	https://en.wikipedia.org/wiki/Wilfrid_Sellars	1912	8
Albert Camus	https://en.wikipedia.org/wiki/Albert_Camus	1913	1
Norman O. Brown	https://en.wikipedia.org/wiki/Norman_O._Brown	1913	0
Paul Grice	https://en.wikipedia.org/wiki/Paul_Grice	1913	1
Paul Ricœur	https://en.wikipedia.org/wiki/Paul_Ricœur	1913	2
John Passmore	https://en.wikipedia.org/wiki/John_Passmore	1914	0
Roland Barthes	https://en.wikipedia.org/wiki/Roland_Barthes	1915	1
Emil Fackenheim	https://en.wikipedia.org/wiki/Emil_Fackenheim	1916	0
Georg Henrik von Wright	https://en.wikipedia.org/wiki/Georg_Henrik_von_Wright	1916	2
Peter Geach	https://en.wikipedia.org/wiki/Peter_Geach	1916	2
Roderick Chisholm	https://en.wikipedia.org/wiki/Roderick_Chisholm	1916	0
Sebastian Shaumyan	https://en.wikipedia.org/wiki/Sebastian_Shaumyan	1916	0
Abdel Rahman Badawi	https://en.wikipedia.org/wiki/Abdel_Rahman_Badawi	1917	0
Donald Davidson (philosopher)	https://en.wikipedia.org/wiki/Donald_Davidson_(philosopher)	1917	2
J. L. Mackie	https://en.wikipedia.org/wiki/J._L._Mackie	1917	1
Louis Althusser	https://en.wikipedia.org/wiki/Louis_Althusser	1918	1
Mario Bunge	https://en.wikipedia.org/wiki/Mario_Bunge	1919	0
Morris Janowitz	https://en.wikipedia.org/wiki/Morris_Janowitz	1919	0
P. F. Strawson	https://en.wikipedia.org/wiki/P._F._Strawson	1919	5
Paul de Man	https://en.wikipedia.org/wiki/Paul_de_Man	1919	0
R. M. Hare	https://en.wikipedia.org/wiki/R._M._Hare	1919	2
William A. Earle	https://en.wikipedia.org/wiki/William_A._Earle	1919	0
J. J. C. Smart	https://en.wikipedia.org/wiki/J._J._C._Smart	1920	0
Jules Vuillemin	https://en.wikipedia.org/wiki/Jules_Vuillemin	1920	0
Philippa Foot	https://en.wikipedia.org/wiki/Philippa_Foot	1920	4
John Rawls	https://en.wikipedia.org/wiki/John_Rawls	1921	1
Murray Bookchin	https://en.wikipedia.org/wiki/Murray_Bookchin	1921	0
Raymond Williams	https://en.wikipedia.org/wiki/Raymond_Williams	1921	2
Walter Kaufmann (philosopher)	https://en.wikipedia.org/wiki/Walter_Kaufmann_(philosopher)	1921	3
William Alston	https://en.wikipedia.org/wiki/William_Alston	1921	0
Cornelius Castoriadis	https://en.wikipedia.org/wiki/Cornelius_Castoriadis	1922	6
Imre Lakatos	https://en.wikipedia.org/wiki/Imre_Lakatos	1922	1
Karl-Otto Apel	https://en.wikipedia.org/wiki/Karl-Otto_Apel	1922	1
Michel Henry	https://en.wikipedia.org/wiki/Michel_Henry	1922	0
Patrick Suppes	https://en.wikipedia.org/wiki/Patrick_Suppes	1922	0
Pierre Hadot	https://en.wikipedia.org/wiki/Pierre_Hadot	1922	1
Sheldon Wolin	https://en.wikipedia.org/wiki/Sheldon_Wolin	1922	2
Stephen Toulmin	https://en.wikipedia.org/wiki/Stephen_Toulmin	1922	0
Thomas Kuhn	https://en.wikipedia.org/wiki/Thomas_Kuhn	1922	0
André Gorz	https://en.wikipedia.org/wiki/André_Gorz	1923	0
Anna-Teresa Tymieniecka	https://en.wikipedia.org/wiki/Anna-Teresa_Tymieniecka	1923	0
Antony Flew	https://en.wikipedia.org/wiki/Antony_Flew	1923	0
Israel Scheffler	https://en.wikipedia.org/wiki/Israel_Scheffler	1923	0
Jacob Taubes	https://en.wikipedia.org/wiki/Jacob_Taubes	1923	3
Richard Popkin	https://en.wikipedia.org/wiki/Richard_Popkin	1923	1
Gilbert Simondon	https://en.wikipedia.org/wiki/Gilbert_Simondon	1924	2
Héctor-Neri Castañeda	https://en.wikipedia.org/wiki/Héctor-Neri_Castañeda	1924	0
Jean-François Lyotard	https://en.wikipedia.org/wiki/Jean-François_Lyotard	1924	1
Kenneth Waltz	https://en.wikipedia.org/wiki/Kenneth_Waltz	1924	3
Kostas Axelos	https://en.wikipedia.org/wiki/Kostas_Axelos	1924	2
Paul Feyerabend	https://en.wikipedia.org/wiki/Paul_Feyerabend	1924	1
Ullin Place	https://en.wikipedia.org/wiki/Ullin_Place	1924	0
Ernest Gellner	https://en.wikipedia.org/wiki/Ernest_Gellner	1925	1
Gilles Deleuze	https://en.wikipedia.org/wiki/Gilles_Deleuze	1925	11
John B. Cobb	https://en.wikipedia.org/wiki/John_B._Cobb	1925	1
Michael Dummett	https://en.wikipedia.org/wiki/Michael_Dummett	1925	0
Paul Kurtz	https://en.wikipedia.org/wiki/Paul_Kurtz	1925	0
Zygmunt Bauman	https://en.wikipedia.org/wiki/Zygmunt_Bauman	1925	0
David Malet Armstrong	https://en.wikipedia.org/wiki/David_Malet_Armstrong	1926	0
Herbert McCabe	https://en.wikipedia.org/wiki/Herbert_McCabe	1926	1
Hilary Putnam	https://en.wikipedia.org/wiki/Hilary_Putnam	1926	6
Ivan Illich	https://en.wikipedia.org/wiki/Ivan_Illich	1926	3
Karel Kosík	https://en.wikipedia.org/wiki/Karel_Kosík	1926	0
Michel Foucault	https://en.wikipedia.org/wiki/Michel_Foucault	1926	1
Stanley Cavell	https://en.wikipedia.org/wiki/Stanley_Cavell	1926	8
Burton Dreben	https://en.wikipedia.org/wiki/Burton_Dreben	1927	1
David Stove	https://en.wikipedia.org/wiki/David_Stove	1927	0
Dieter Henrich	https://en.wikipedia.org/wiki/Dieter_Henrich	1927	2
Leszek Kołakowski	https://en.wikipedia.org/wiki/Leszek_Kołakowski	1927	2
Nicholas Rescher	https://en.wikipedia.org/wiki/Nicholas_Rescher	1928	2
Noam Chomsky	https://en.wikipedia.org/wiki/Noam_Chomsky	1928	4
William Stringfellow	https://en.wikipedia.org/wiki/William_Stringfellow	1928	0
Alasdair MacIntyre	https://en.wikipedia.org/wiki/Alasdair_MacIntyre	1929	0
Bernard Williams	https://en.wikipedia.org/wiki/Bernard_Williams	1929	1
Hubert Dreyfus	https://en.wikipedia.org/wiki/Hubert_Dreyfus	1929	2
Jean Baudrillard	https://en.wikipedia.org/wiki/Jean_Baudrillard	1929	0
Judith Jarvis Thomson	https://en.wikipedia.org/wiki/Judith_Jarvis_Thomson	1929	0
Jürgen Habermas	https://en.wikipedia.org/wiki/Jürgen_Habermas	1929	0
Ágnes Heller	https://en.wikipedia.org/wiki/Ágnes_Heller	1929	0
Allan Bloom	https://en.wikipedia.org/wiki/Allan_Bloom	1930	1
Frithjof Bergmann	https://en.wikipedia.org/wiki/Frithjof_Bergmann	1930	2
Félix Guattari	https://en.wikipedia.org/wiki/Félix_Guattari	1930	4
Ignacio Ellacuría	https://en.wikipedia.org/wiki/Ignacio_Ellacuría	1930	0
Jacques Derrida	https://en.wikipedia.org/wiki/Jacques_Derrida	1930	2
Joseph A. Bracken	https://en.wikipedia.org/wiki/Joseph_A._Bracken	1930	0
Luce Irigaray	https://en.wikipedia.org/wiki/Luce_Irigaray	1930	2
Michel Serres	https://en.wikipedia.org/wiki/Michel_Serres	1930	0
Pierre Bourdieu	https://en.wikipedia.org/wiki/Pierre_Bourdieu	1930	0
Robert Gilpin	https://en.wikipedia.org/wiki/Robert_Gilpin	1930	0
Wolfgang Smith	https://en.wikipedia.org/wiki/Wolfgang_Smith	1930	1
Anthony Kenny	https://en.wikipedia.org/wiki/Anthony_Kenny	1931	0
Charles Taylor (philosopher)	https://en.wikipedia.org/wiki/Charles_Taylor_(philosopher)	1931	2
Gonzalo Arango	https://en.wikipedia.org/wiki/Gonzalo_Arango	1931	0
Guy Debord	https://en.wikipedia.org/wiki/Guy_Debord	1931	0
Richard Rorty	https://en.wikipedia.org/wiki/Richard_Rorty	1931	3
Ronald Dworkin	https://en.wikipedia.org/wiki/Ronald_Dworkin	1931	1
William L. Rowe	https://en.wikipedia.org/wiki/William_L._Rowe	1931	0
Alvin Plantinga	https://en.wikipedia.org/wiki/Alvin_Plantinga	1932	3
Hedley Bull	https://en.wikipedia.org/wiki/Hedley_Bull	1932	0
John Searle	https://en.wikipedia.org/wiki/John_Searle	1932	0
Michael Martin (philosopher)	https://en.wikipedia.org/wiki/Michael_Martin_(philosopher)	1932	0
Nicholas Wolterstorff	https://en.wikipedia.org/wiki/Nicholas_Wolterstorff	1932	1
Norman Geisler	https://en.wikipedia.org/wiki/Norman_Geisler	1932	0
Richard J. Bernstein	https://en.wikipedia.org/wiki/Richard_J._Bernstein	1932	2
Robert Anton Wilson	https://en.wikipedia.org/wiki/Robert_Anton_Wilson	1932	0
Antonio Negri	https://en.wikipedia.org/wiki/Antonio_Negri	1933	1
Hossein Nasr	https://en.wikipedia.org/wiki/Hossein_Nasr	1933	0
Reza Davari Ardakani	https://en.wikipedia.org/wiki/Reza_Davari_Ardakani	1933	1
Ruth Millikan	https://en.wikipedia.org/wiki/Ruth_Millikan	1933	0
Ted Honderich	https://en.wikipedia.org/wiki/Ted_Honderich	1933	0
Bernard Gert	https://en.wikipedia.org/wiki/Bernard_Gert	1934	0
Dewi Zephaniah Phillips	https://en.wikipedia.org/wiki/Dewi_Zephaniah_Phillips	1934	0
Don Ihde	https://en.wikipedia.org/wiki/Don_Ihde	1934	0
Evandro Agazzi	https://en.wikipedia.org/wiki/Evandro_Agazzi	1934	1
Fredric Jameson	https://en.wikipedia.org/wiki/Fredric_Jameson	1934	1
György Márkus	https://en.wikipedia.org/wiki/György_Márkus	1934	1
Jaegwon Kim	https://en.wikipedia.org/wiki/Jaegwon_Kim	1934	0
Richard Swinburne	https://en.wikipedia.org/wiki/Richard_Swinburne	1934	3
Dallas Willard	https://en.wikipedia.org/wiki/Dallas_Willard	1935	0
Edward Said	https://en.wikipedia.org/wiki/Edward_Said	1935	3
Ernesto Laclau	https://en.wikipedia.org/wiki/Ernesto_Laclau	1935	1
Estanislao Zuleta	https://en.wikipedia.org/wiki/Estanislao_Zuleta	1935	0
Jerry Fodor	https://en.wikipedia.org/wiki/Jerry_Fodor	1935	0
Khalid Masud	https://en.wikipedia.org/wiki/Khalid_Masud	1935	0
Michael Walzer	https://en.wikipedia.org/wiki/Michael_Walzer	1935	1
Peter Achinstein	https://en.wikipedia.org/wiki/Peter_Achinstein	1935	1
Gianni Vattimo	https://en.wikipedia.org/wiki/Gianni_Vattimo	1936	2
Ian Hacking	https://en.wikipedia.org/wiki/Ian_Hacking	1936	0
Nicos Poulantzas	https://en.wikipedia.org/wiki/Nicos_Poulantzas	1936	1
Alain Badiou	https://en.wikipedia.org/wiki/Alain_Badiou	1937	4
André Glucksmann	https://en.wikipedia.org/wiki/André_Glucksmann	1937	0
Arthur Fine	https://en.wikipedia.org/wiki/Arthur_Fine	1937	1
Dominique Janicaud	https://en.wikipedia.org/wiki/Dominique_Janicaud	1937	0
François Laruelle	https://en.wikipedia.org/wiki/François_Laruelle	1937	1
Hélène Cixous	https://en.wikipedia.org/wiki/Hélène_Cixous	1937	1
Ivan Soll	https://en.wikipedia.org/wiki/Ivan_Soll	1938	0
Keith Ward	https://en.wikipedia.org/wiki/Keith_Ward	1938	0
Robert Nozick	https://en.wikipedia.org/wiki/Robert_Nozick	1938	0
David Ray Griffin	https://en.wikipedia.org/wiki/David_Ray_Griffin	1939	0
Joseph Raz	https://en.wikipedia.org/wiki/Joseph_Raz	1939	1
Kendall Walton	https://en.wikipedia.org/wiki/Kendall_Walton	1939	1
Peter Hacker	https://en.wikipedia.org/wiki/Peter_Hacker	1939	0
Jacques Rancière	https://en.wikipedia.org/wiki/Jacques_Rancière	1940	3
John D. Caputo	https://en.wikipedia.org/wiki/John_D._Caputo	1940	2
Michael J. Shapiro	https://en.wikipedia.org/wiki/Michael_J._Shapiro	1940	0
Saul Kripke	https://en.wikipedia.org/wiki/Saul_Kripke	1940	1
Takis Fotopoulos	https://en.wikipedia.org/wiki/Takis_Fotopoulos	1940	0
Bas van Fraassen	https://en.wikipedia.org/wiki/Bas_van_Fraassen	1941	1
David Lewis (philosopher)	https://en.wikipedia.org/wiki/David_Lewis_(philosopher)	1941	1
Gerald Cohen	https://en.wikipedia.org/wiki/Gerald_Cohen	1941	2
José Guilherme Merquior	https://en.wikipedia.org/wiki/José_Guilherme_Merquior	1941	0
Joxe Azurmendi	https://en.wikipedia.org/wiki/Joxe_Azurmendi	1941	0
Julia Kristeva	https://en.wikipedia.org/wiki/Julia_Kristeva	1941	0
Chris Harman	https://en.wikipedia.org/wiki/Chris_Harman	1942	1
Crispin Wright	https://en.wikipedia.org/wiki/Crispin_Wright	1942	0
Daniel Dennett	https://en.wikipedia.org/wiki/Daniel_Dennett	1942	0
Derek Parfit	https://en.wikipedia.org/wiki/Derek_Parfit	1942	0
Duncan Kennedy (legal philosopher)	https://en.wikipedia.org/wiki/Duncan_Kennedy_(legal_philosopher)	1942	2
Gayatri Chakravorty Spivak	https://en.wikipedia.org/wiki/Gayatri_Chakravorty_Spivak	1942	0
Giorgio Agamben	https://en.wikipedia.org/wiki/Giorgio_Agamben	1942	1
John McDowell	https://en.wikipedia.org/wiki/John_McDowell	1942	0
Ned Block	https://en.wikipedia.org/wiki/Ned_Block	1942	0
Paul Churchland	https://en.wikipedia.org/wiki/Paul_Churchland	1942	0
Peter van Inwagen	https://en.wikipedia.org/wiki/Peter_van_Inwagen	1942	0
Robert C. Solomon	https://en.wikipedia.org/wiki/Robert_C._Solomon	1942	0
Tom Rockmore	https://en.wikipedia.org/wiki/Tom_Rockmore	1942	0
Étienne Balibar	https://en.wikipedia.org/wiki/Étienne_Balibar	1942	1
Alain de Benoist	https://en.wikipedia.org/wiki/Alain_de_Benoist	1943	0
Costanzo Preve	https://en.wikipedia.org/wiki/Costanzo_Preve	1943	0
Douglas Kellner	https://en.wikipedia.org/wiki/Douglas_Kellner	1943	0
John Zerzan	https://en.wikipedia.org/wiki/John_Zerzan	1943	0
Martha Albertson Fineman	https://en.wikipedia.org/wiki/Martha_Albertson_Fineman	1943	1
Muhammad al-Tijani	https://en.wikipedia.org/wiki/Muhammad_al-Tijani	1943	0
Panagiotis Kondylis	https://en.wikipedia.org/wiki/Panagiotis_Kondylis	1943	0
Rosalind Hursthouse	https://en.wikipedia.org/wiki/Rosalind_Hursthouse	1943	0
Terry Eagleton	https://en.wikipedia.org/wiki/Terry_Eagleton	1943	0
Helen Longino	https://en.wikipedia.org/wiki/Helen_Longino	1944	0
Nancy Cartwright (philosopher)	https://en.wikipedia.org/wiki/Nancy_Cartwright_(philosopher)	1944	0
R. A. W. Rhodes	https://en.wikipedia.org/wiki/R._A._W._Rhodes	1944	0
Roger Scruton	https://en.wikipedia.org/wiki/Roger_Scruton	1944	0
Simon Blackburn	https://en.wikipedia.org/wiki/Simon_Blackburn	1944	0
Manfred Frank	https://en.wikipedia.org/wiki/Manfred_Frank	1945	0
Philip Pettit	https://en.wikipedia.org/wiki/Philip_Pettit	1945	0
Susan Haack	https://en.wikipedia.org/wiki/Susan_Haack	1945	1
Alexander Nehamas	https://en.wikipedia.org/wiki/Alexander_Nehamas	1946	0
Jonathan Dancy	https://en.wikipedia.org/wiki/Jonathan_Dancy	1946	1
Peter Singer	https://en.wikipedia.org/wiki/Peter_Singer	1946	0
Predrag Finci	https://en.wikipedia.org/wiki/Predrag_Finci	1946	0
Gillian Rose	https://en.wikipedia.org/wiki/Gillian_Rose	1947	1
John Mearsheimer	https://en.wikipedia.org/wiki/John_Mearsheimer	1947	0
Louis Michael Seidman	https://en.wikipedia.org/wiki/Louis_Michael_Seidman	1947	0
Martha Nussbaum	https://en.wikipedia.org/wiki/Martha_Nussbaum	1947	0
Nancy Fraser	https://en.wikipedia.org/wiki/Nancy_Fraser	1947	0
Olavo de Carvalho	https://en.wikipedia.org/wiki/Olavo_de_Carvalho	1947	0
Peter Sloterdijk	https://en.wikipedia.org/wiki/Peter_Sloterdijk	1947	0
Carlo Penco	https://en.wikipedia.org/wiki/Carlo_Penco	1948	0
Graham Priest	https://en.wikipedia.org/wiki/Graham_Priest	1948	0
Hans Joas	https://en.wikipedia.org/wiki/Hans_Joas	1948	0
Hans Köchler	https://en.wikipedia.org/wiki/Hans_Köchler	1948	0
J. P. Moreland	https://en.wikipedia.org/wiki/J._P._Moreland	1948	0
Robert B. Pippin	https://en.wikipedia.org/wiki/Robert_B._Pippin	1948	2
Arda Denkel	https://en.wikipedia.org/wiki/Arda_Denkel	1949	0
Axel Honneth	https://en.wikipedia.org/wiki/Axel_Honneth	1949	1
Christopher Hitchens	https://en.wikipedia.org/wiki/Christopher_Hitchens	1949	0
Ljubodrag Simonović	https://en.wikipedia.org/wiki/Ljubodrag_Simonović	1949	0
Slavoj Žižek	https://en.wikipedia.org/wiki/Slavoj_Žižek	1949	0
William Lane Craig	https://en.wikipedia.org/wiki/William_Lane_Craig	1949	2
Alex Callinicos	https://en.wikipedia.org/wiki/Alex_Callinicos	1950	0
Michele Marsonet	https://en.wikipedia.org/wiki/Michele_Marsonet	1950	0
Richard Tarnas	https://en.wikipedia.org/wiki/Richard_Tarnas	1950	0
Robert Brandom	https://en.wikipedia.org/wiki/Robert_Brandom	1950	0
Bob Black	https://en.wikipedia.org/wiki/Bob_Black	1951	0
Brian Davies (philosopher)	https://en.wikipedia.org/wiki/Brian_Davies_(philosopher)	1951	0
Hamid Dabashi	https://en.wikipedia.org/wiki/Hamid_Dabashi	1951	0
Javed Ahmad Ghamidi	https://en.wikipedia.org/wiki/Javed_Ahmad_Ghamidi	1951	0
Kevin Mulligan	https://en.wikipedia.org/wiki/Kevin_Mulligan	1951	0
Avital Ronell	https://en.wikipedia.org/wiki/Avital_Ronell	1952	0
Bernard Stiegler	https://en.wikipedia.org/wiki/Bernard_Stiegler	1952	0
Christine Korsgaard	https://en.wikipedia.org/wiki/Christine_Korsgaard	1952	1
Francis Fukuyama	https://en.wikipedia.org/wiki/Francis_Fukuyama	1952	0
Manuel DeLanda	https://en.wikipedia.org/wiki/Manuel_DeLanda	1952	0
Catherine Keller (theologian)	https://en.wikipedia.org/wiki/Catherine_Keller_(theologian)	1953	0
Cornel West	https://en.wikipedia.org/wiki/Cornel_West	1953	0
Jeremy Waldron	https://en.wikipedia.org/wiki/Jeremy_Waldron	1953	0
Michael J. Sandel	https://en.wikipedia.org/wiki/Michael_J._Sandel	1953	1
Norbert Bolz	https://en.wikipedia.org/wiki/Norbert_Bolz	1953	0
Anthony Weston	https://en.wikipedia.org/wiki/Anthony_Weston	1954	0
Rosi Braidotti	https://en.wikipedia.org/wiki/Rosi_Braidotti	1954	0
Gary Peller	https://en.wikipedia.org/wiki/Gary_Peller	1955	0
Stephen Walt	https://en.wikipedia.org/wiki/Stephen_Walt	1955	0
Wendy Brown (political scientist)	https://en.wikipedia.org/wiki/Wendy_Brown_(political_scientist)	1955	0
Brian Massumi	https://en.wikipedia.org/wiki/Brian_Massumi	1956	0
Judith Butler	https://en.wikipedia.org/wiki/Judith_Butler	1956	0
Hent de Vries	https://en.wikipedia.org/wiki/Hent_de_Vries	1958	0
Catherine Malabou	https://en.wikipedia.org/wiki/Catherine_Malabou	1959	0
Jesús Padilla Gálvez	https://en.wikipedia.org/wiki/Jesús_Padilla_Gálvez	1959	0
Jonathan Wolff (philosopher)	https://en.wikipedia.org/wiki/Jonathan_Wolff_(philosopher)	1959	0
Michel Onfray	https://en.wikipedia.org/wiki/Michel_Onfray	1959	0
Michael Hardt	https://en.wikipedia.org/wiki/Michael_Hardt	1960	0
Simon Critchley	https://en.wikipedia.org/wiki/Simon_Critchley	1960	0
Vittorio Hösle	https://en.wikipedia.org/wiki/Vittorio_Hösle	1960	0
Sandra Laugier	https://en.wikipedia.org/wiki/Sandra_Laugier	1961	0
Aleksandr Dugin	https://en.wikipedia.org/wiki/Aleksandr_Dugin	1962	0
Nick Land	https://en.wikipedia.org/wiki/Nick_Land	1962	1
Paul Copan	https://en.wikipedia.org/wiki/Paul_Copan	1962	0
Stephen Mulhall	https://en.wikipedia.org/wiki/Stephen_Mulhall	1962	0
Tariq Ramadan	https://en.wikipedia.org/wiki/Tariq_Ramadan	1962	0
Will Kymlicka	https://en.wikipedia.org/wiki/Will_Kymlicka	1962	0
Bijan Abdolkarimi	https://en.wikipedia.org/wiki/Bijan_Abdolkarimi	1963	0
Mark Bevir	https://en.wikipedia.org/wiki/Mark_Bevir	1963	1
John Gardner (legal philosopher)	https://en.wikipedia.org/wiki/John_Gardner_(legal_philosopher)	1964	0
Luciano Floridi	https://en.wikipedia.org/wiki/Luciano_Floridi	1964	0
Richard David Precht	https://en.wikipedia.org/wiki/Richard_David_Precht	1964	0
Bryan Reynolds	https://en.wikipedia.org/wiki/Bryan_Reynolds	1965	0
Mario Kopić	https://en.wikipedia.org/wiki/Mario_Kopić	1965	0
Ray Brassier	https://en.wikipedia.org/wiki/Ray_Brassier	1965	0
David Chalmers	https://en.wikipedia.org/wiki/David_Chalmers	1966	1
Nader El-Bizri	https://en.wikipedia.org/wiki/Nader_El-Bizri	1966	0
Alice Crary	https://en.wikipedia.org/wiki/Alice_Crary	1967	0
Dan Zahavi	https://en.wikipedia.org/wiki/Dan_Zahavi	1967	0
Quentin Meillassoux	https://en.wikipedia.org/wiki/Quentin_Meillassoux	1967	1
Graham Harman	https://en.wikipedia.org/wiki/Graham_Harman	1968	1
Timothy Morton	https://en.wikipedia.org/wiki/Timothy_Morton	1968	0
Michael Huemer	https://en.wikipedia.org/wiki/Michael_Huemer	1969	0
Gualtiero Piccinini	https://en.wikipedia.org/wiki/Gualtiero_Piccinini	1970	0
Austin Dacey	https://en.wikipedia.org/wiki/Austin_Dacey	1972	0
Chris Bateman	https://en.wikipedia.org/wiki/Chris_Bateman	1972	0
Alexander Pruss	https://en.wikipedia.org/wiki/Alexander_Pruss	1973	0
Peter Rollins	https://en.wikipedia.org/wiki/Peter_Rollins	1973	0
Constantine Sandis	https://en.wikipedia.org/wiki/Constantine_Sandis	1976	0
